,ID,Sn_ratio,Se_ratio,dopant1_num,dopant1_ratio,dopant2_num,dopant2_ratio,dopant3_num,dopant3_ratio,direction,Temp,category,el_cond,seebeck,thermal,ZT
2256,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,600,1,38.8300048828125,331.57850341796876,0.44428340196609495,0.5765425185146665
2257,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,620,1,37.25033760070801,335.4628845214844,0.4451490998268127,0.5838554750571666
2258,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,640,1,34.79194717407226,346.68950805664065,0.43401936292648313,0.6166390181930049
2259,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,660,1,33.34449729919434,348.2833557128906,0.43145700693130495,0.6187226630944624
2260,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,680,1,34.389839553833006,349.6823669433594,0.4235295057296753,0.6751540190137413
2261,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,700,1,35.18718910217285,348.5712585449219,0.4221012532711029,0.709004713389709
2262,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,720,1,33.854827117919925,348.18422241210936,0.4258732616901398,0.6938904306142873
2263,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,740,1,45.988016510009764,337.60361328125,0.4245993077754974,0.913505757220421
2264,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,760,1,47.8078369140625,321.0939514160156,0.4128187716007233,0.9074391216056056
2265,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,780,1,59.47093048095703,310.8024597167969,0.43348923325538635,1.033689049081665
2266,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,800,1,73.78885192871094,288.006103515625,0.4462692379951477,1.097203469108119
2267,TY0529,0.97,0.99,11,0.01,52,0.01,0,0,1,820,1,76.60368041992187,294.3784545898437,0.5136271893978119,1.0598088083711774
2268,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,300,1,32.78400192260742,165.6555938720703,0.7704946875572205,0.035028842294287876
2269,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,320,1,33.95408592224121,188.59722290039062,0.7527925848960877,0.051337802626977305
2270,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,340,1,38.4544319152832,190.82586669921875,0.712584114074707,0.06681341464090897
2271,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,360,1,39.8372200012207,192.11439819335936,0.6145063877105713,0.08613605006827015
2272,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,380,1,47.799851989746095,204.01961975097657,0.6604815602302552,0.11447043122295279
2273,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,400,1,48.4918212890625,204.28118591308595,0.649350643157959,0.12465392364964469
2274,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,420,1,51.71487579345703,205.86579284667968,0.6218977689743042,0.14801787190547763
2275,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,440,1,51.93913269042969,234.61917114257812,0.5403122186660767,0.2328249794527075
2276,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,460,1,51.672560119628905,231.0841857910156,0.4863728880882263,0.26096898960833526
2277,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,480,1,51.09678268432617,273.8617797851563,0.5033429384231567,0.3654547957148934
2278,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,500,1,48.74126510620117,270.2169464111328,0.5033236563205719,0.3535449373941496
2279,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,520,1,47.29678955078125,270.9899658203125,0.4978990137577057,0.3627439353779022
2280,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,540,1,45.07962265014648,292.92665405273436,0.48409765362739565,0.43147817782583564
2281,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,560,1,43.28846969604492,290.90684204101564,0.4741737186908722,0.43264396749198725
2282,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,580,1,40.05598754882813,294.54962768554685,0.4466747522354126,0.4512539204227852
2283,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,600,1,39.99622497558594,311.86627807617185,0.4371199071407318,0.5339572677587006
2284,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,620,1,37.232933807373044,318.5989562988281,0.43034279346466064,0.5444940152444167
2285,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,640,1,37.307160186767575,328.27283935546876,0.4234203815460205,0.6076735170422137
2286,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,660,1,36.379678344726564,332.7617614746094,0.4269185721874237,0.6227655369855889
2287,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,680,1,38.08293762207031,340.7527709960938,0.40777396559715273,0.7373923907858212
2288,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,700,1,39.28975830078125,337.7261108398437,0.401025652885437,0.7822300942776215
2289,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,720,1,38.929335021972655,333.744873046875,0.4045034468173981,0.7718207688503274
2290,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,740,1,57.93026580810547,328.95201416015624,0.39944777488708494,1.1612944072575586
2291,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,760,1,59.01580963134766,315.1405883789063,0.3899060428142548,1.1424328404610609
2292,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,780,1,74.15068664550782,290.91209106445314,0.39201406836509706,1.2486239782837125
2293,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,800,1,82.80085601806641,283.61964111328126,0.41149449348449707,1.2948915355066355
2294,TY0530,0.99,0.98,11,0.01,52,0.02,0,0,0,820,1,83.22111358642579,285.826904296875,0.4954356372356415,1.1252948823726874
2295,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,300,1,34.03678817749024,158.3226760864258,1.0118512630462646,0.025295274260050286
2296,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,320,1,33.937857437133786,181.71009521484376,0.993459141254425,0.03609462224289771
2297,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,340,1,38.44593353271485,182.77443237304686,0.9634074568748474,0.04532629406002667
2298,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,360,1,40.24393768310547,183.86913452148437,0.8526280522346497,0.0574461615281628
2299,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,380,1,47.786865234375,200.88995971679688,0.8375655889511109,0.08749631768620601
2300,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,400,1,48.49346160888672,201.1515319824219,0.8168322563171386,0.09608530816747977
2301,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,420,1,51.714463806152345,204.14454650878906,0.7889989733695983,0.11472562805064607
2302,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,440,1,51.48386993408203,232.8480682373047,0.6986636877059936,0.175792753075706
2303,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,460,1,51.21347198486328,230.47234497070312,0.6408200025558471,0.19527364509196335
2304,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,480,1,50.71905364990234,273.19976806640625,0.62767333984375,0.28949385466948746
2305,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,500,1,48.356571197509766,269.86366882324216,0.6137775421142578,0.28688203322608874
2306,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,520,1,46.912095642089845,270.6139892578125,0.6062973737716675,0.29464764722850456
2307,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,540,1,44.58788375854492,295.12285766601565,0.5662874341011047,0.3703218951482789
2308,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,560,1,42.46851272583008,292.8954833984375,0.5663892745971679,0.36021799750710676
2309,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,580,1,39.469652557373045,298.33465576171875,0.5289606034755707,0.3851903345698216
2310,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,600,1,39.40988998413086,321.3901611328125,0.5226498126983643,0.4673161913675687
2311,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,620,1,36.680633544921875,328.1228393554687,0.5239104747772216,0.46735227171596394
2312,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,640,1,36.4739875793457,337.5814514160156,0.511267215013504,0.5203222858637623
2313,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,660,1,35.384820556640626,341.5381591796875,0.5178079068660736,0.5261029318027893
2314,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,680,1,37.53290786743164,345.57557983398436,0.49390320777893065,0.6171139579111766
2315,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,700,1,38.693547058105466,342.3333740234375,0.4929415225982666,0.643931487883043
2316,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,720,1,38.22012786865234,338.2767822265625,0.49641930460929873,0.6343374498086276
2317,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,740,1,58.260441589355466,331.07329711914065,0.4906722366809845,0.9630798896439532
2318,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,760,1,59.26791076660156,315.34303588867186,0.4811893284320831,0.930858592904934
2319,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,780,1,74.5528350830078,294.10474853515626,0.483684778213501,1.0399211692428372
2320,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,800,1,82.93421173095703,282.88414306640624,0.49921916127204896,1.0635298159089202
2321,TY0531,0.99,0.98,11,0.01,52,0.02,0,0,1,820,1,83.68669738769532,285.1965698242187,0.6067528367042542,0.9199136469870268
2322,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,300,1,41.344522094726564,184.34337463378907,0.6684064269065857,0.06305995854543933
2323,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,320,1,42.07517585754395,201.41664428710936,0.6336163520812989,0.0862065477481036
2324,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,340,1,48.86954040527344,205.6612060546875,0.6007029294967652,0.11699361983455973
2325,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,360,1,51.42798767089844,204.62369384765626,0.5182705521583557,0.14957442404047414
2326,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,380,1,56.19819107055664,222.28359985351562,0.582165515422821,0.1812484493757023
2327,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,400,1,57.27671813964844,223.1251678466797,0.5515056610107422,0.2068165373493338
2328,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,420,1,61.007974243164064,224.70977478027345,0.5480725347995759,0.23607053528499938
2329,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,440,1,64.69879302978515,253.44473266601562,0.465725302696228,0.3926318814994738
2330,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,460,1,64.33018188476562,251.62648010253906,0.41958394050598147,0.4465462418312613
2331,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,480,1,59.97446899414062,288.9822143554687,0.40599672198295594,0.5921440242978789
2332,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,500,1,59.18401184082031,284.305810546875,0.3948465049266815,0.6057836931836538
2333,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,520,1,58.7891242980957,285.5338500976562,0.3989904344081879,0.6246734582838984
2334,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,540,1,53.82461166381836,299.8009094238281,0.3696513533592224,0.706721422753775
2335,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,560,1,53.31255874633789,297.3400024414062,0.3689782559871674,0.7153580383387328
2336,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,580,1,46.910431671142575,298.31370239257814,0.33792937994003297,0.7165027735442357
2337,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,600,1,45.177198028564455,313.0516845703125,0.32362566590309144,0.820842199179791
2338,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,620,1,43.22064781188965,317.2765808105469,0.32036729753017423,0.8419975290984063
2339,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,640,1,42.21561279296875,327.8833435058594,0.31508953869342804,0.9218447729236252
2340,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,660,1,40.3623966217041,329.8267761230469,0.31787152886390685,0.9116771503717247
2341,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,680,1,41.269100189208984,337.1875854492188,0.2919309943914413,1.0929413539230943
2342,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,700,1,42.06075820922852,335.6653198242187,0.29211106300354006,1.1356384247303994
2343,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,720,1,41.236270904541016,333.1012390136719,0.294699227809906,1.1178547558980974
2344,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,740,1,53.40485382080078,330.3009338378906,0.28455221056938174,1.5152004465989433
2345,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,760,1,58.163134002685545,312.66973266601565,0.27614301145076753,1.5649447870661588
2346,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,780,1,71.61217651367187,293.92986450195315,0.30365683138370514,1.5892266863773081
2347,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,800,1,80.87730865478515,282.2612609863281,0.31735616028308866,1.6243226478074795
2348,TY0532,0.98,0.98,11,0.01,52,0.02,0,0,0,820,1,82.5784912109375,285.5980529785156,0.3908655047416687,1.4130708472855098
2349,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,300,1,40.60648155212402,174.79684753417968,0.9009356379508973,0.04131331463887501
2350,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,320,1,39.86622428894043,192.1236328125,0.8667926073074341,0.054325216459417985
2351,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,340,1,46.698707580566406,195.15567626953126,0.8363780379295349,0.07230087167431826
2352,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,360,1,49.69521789550781,193.785009765625,0.7681264877319336,0.08746306993057318
2353,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,380,1,54.2550666809082,216.17019653320312,0.7650432825088501,0.1259300937948037
2354,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,400,1,55.31361312866211,217.0117645263672,0.705034077167511,0.1477911630727588
2355,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,420,1,59.04281997680664,218.59637145996095,0.6778483986854553,0.1748113816175527
2356,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,440,1,62.58824234008789,247.69774475097657,0.6290636658668518,0.2685931517231771
2357,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,460,1,62.21962966918945,244.9446563720703,0.5775580286979676,0.2973209878588553
2358,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,480,1,58.054341888427736,283.3265808105469,0.5391270875930786,0.41491528297769076
2359,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,500,1,57.22455062866211,279.3559265136719,0.5252672255039215,0.4250968339627098
2360,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,520,1,57.50627899169922,280.79450073242185,0.5294111847877503,0.4453512692070581
2361,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,540,1,52.43304290771484,298.4414306640625,0.5025023102760315,0.5018558441102706
2362,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,560,1,51.57143859863281,295.82640380859374,0.5037289381027221,0.5017348187506097
2363,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,580,1,45.32359733581543,298.86011962890626,0.47488777041435243,0.49442145973011353
2364,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,600,1,44.08450584411621,319.33696899414065,0.4630596160888672,0.5825037394642153
2365,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,620,1,41.51109313964844,323.87318115234376,0.4638399243354797,0.5820197291546549
2366,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,640,1,40.5968879699707,334.5623779296875,0.4541309356689453,0.6403919063538634
2367,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,660,1,38.572592163085936,336.6751220703125,0.4600442945957184,0.6272564913525893
2368,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,680,1,39.66465454101562,341.2541870117187,0.4350388467311859,0.7220055354364481
2369,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,700,1,40.43959274291992,339.5747985839844,0.43513469099998475,0.7501567269816642
2370,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,720,1,38.863085174560545,336.93739013671876,0.43772285580635073,0.7257197829056167
2371,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,740,1,52.5284309387207,333.51055908203125,0.4266230285167694,1.013446974535393
2372,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,760,1,57.28783493041992,314.11510009765624,0.41547282934188845,1.033977295866169
2373,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,780,1,70.29840469360352,295.7558166503906,0.43996561169624326,1.0901541912183927
2374,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,800,1,80.1524673461914,282.3016052246094,0.4553682267665863,1.1222015225729165
2375,TY0533,0.98,0.98,11,0.01,52,0.02,0,0,1,820,1,83.16387176513672,285.542919921875,0.5509290575981141,1.0092428144185774
2376,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,300,1,30.03662528991699,204.87681884765624,0.6338627815246582,0.05967092685102978
2377,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,320,1,30.93305206298828,227.17062072753907,0.6037854313850403,0.08460469232896965
2378,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,340,1,33.30288543701172,232.6305725097656,0.5706388533115387,0.10738237895543766
2379,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,360,1,35.41943550109863,233.28226623535156,0.5034346878528595,0.13783656804543387
2380,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,380,1,42.65419311523438,258.00673217773436,0.5270813941955567,0.2047055972923747
2381,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,400,1,43.165428924560544,258.4528350830078,0.47861894965171814,0.24097321043750902
2382,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,420,1,46.96061477661133,259.7978454589844,0.47674237489700316,0.27923535095863145
2383,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,440,1,50.192448425292966,288.29668579101565,0.3880570650100708,0.4730148364641224
2384,TY0534,0.97,0.98,11,0.01,52,0.02,0,0,0,460,1,50.07560043334961,286.52081298828125,0.32907589375972746,0.5746458533226082
